127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002261
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.000529
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002263
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.002716
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.007914
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.005871
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002154
127.0.0.1, 2018-09-22 18:14:50, GET, /SP/static/images/favicon.ico, HTTP/1.1, 304, 0.000428
127.0.0.1, 2018-09-22 18:15:40, GET, /SP/default/user/login, HTTP/1.1, 200, 0.021677
127.0.0.1, 2018-09-22 18:15:42, GET, /admin/default/site, HTTP/1.1, 200, 0.030317
127.0.0.1, 2018-09-22 18:15:45, GET, /admin/default/design/SP, HTTP/1.1, 200, 0.084304
127.0.0.1, 2018-09-22 18:16:16, GET, /, HTTP/1.1, 303, 0.000313
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000551
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001663
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001587
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001697
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000450
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001969
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000779
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002686
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003847
127.0.0.1, 2018-09-22 18:16:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.027583
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.001436
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.002019
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001362
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001983
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.003880
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.005077
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002098
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.004582
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001250
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/static/images/favicon.ico, HTTP/1.1, 304, 0.004960
127.0.0.1, 2018-09-22 18:16:21, GET, /SP/, HTTP/1.1, 200, 0.041882
127.0.0.1, 2018-09-22 18:16:21, GET, /SP, HTTP/1.1, 200, 0.022072
127.0.0.1, 2018-09-22 18:16:28, GET, /admin/default/peek/SP/models/menu.py, HTTP/1.1, 200, 0.021377
127.0.0.1, 2018-09-22 18:17:42, GET, /SP, HTTP/1.1, 200, 0.017735
127.0.0.1, 2018-09-22 18:17:43, GET, /SP, HTTP/1.1, 200, 0.018637
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002342
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.000595
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004693
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004053
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.004098
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002382
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.004891
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.004374
127.0.0.1, 2018-09-22 18:19:16, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.000871
127.0.0.1, 2018-09-22 18:19:16, GET, /SP, HTTP/1.1, 500, 0.059589
127.0.0.1, 2018-09-22 18:19:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2018-09-22 18:19:20, GET, /admin/default/ticket/SP/127.0.0.1.2018-09-22.18-19-16.eb57736d-d461-4d86-8577-c7454f82f56b, HTTP/1.1, 200, 0.084007
127.0.0.1, 2018-09-22 18:19:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2018-09-22 18:19:41, GET, /SP, HTTP/1.1, 200, 0.026587
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002446
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/web2py.js, HTTP/1.1, 304, 0.000728
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001720
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/jquery.js, HTTP/1.1, 304, 0.001696
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004695
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/css/calendar.css, HTTP/1.1, 304, 0.003036
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.005918
127.0.0.1, 2018-09-22 18:19:41, GET, /SP/static/js/calendar.js, HTTP/1.1, 304, 0.002783
